count,signal,attention,meditation,delta,theta,lalpha,hapha,lbeta,hbeta,lgamma,hgamma
301,0,67,35,69.3281021118164,22.9675006866455,5.0201997756958,1.75090003013611,7.88689994812012,7.44339990615845,2.24550008773804,1.66009998321533
302,0,51,29,26.5244007110596,4.36969995498657,0.200699999928474,0.725000023841858,0.210500001907349,0.225299999117851,0.548799991607666,0.380199998617172
303,0,60,37,108.714202880859,24.4729995727539,5.50290012359619,3.96320009231567,3.37459993362427,10.1663999557495,5.00990009307861,1.64549994468689
304,0,51,40,73.6079025268555,20.1334991455078,1.15499997138977,1.66170001029968,2.30769991874695,0.836099982261658,0.552200019359589,0.988399982452393
305,0,44,47,176.112503051758,40.4912986755371,12.5502004623413,6.13819980621338,3.44930005073547,7.28459978103638,2.95639991760254,4.09509992599487
306,0,51,57,11.2941999435425,3.73769998550415,2.09179997444153,1.09379994869232,0.573300004005432,0.646499991416931,0.151500001549721,0.25780001282692
307,0,43,63,24.9750995635986,19.3043003082275,10.4961996078491,1.53830003738403,5.11889982223511,4.38579988479614,3.00500011444092,4.95559978485107
308,0,47,67,174.778198242188,55.9207992553711,9.95860004425049,2.95070004463196,6.15369987487793,3.19260001182556,5.83529996871948,1.86839997768402
309,0,48,54,43.7221984863281,10.5103998184204,0.981599986553192,0.377099990844727,1.64170002937317,1.62750005722046,1.68850004673004,0.487899988889694
310,0,48,44,169.626098632812,29.2166004180908,4.9520001411438,2.53430008888245,2.8183000087738,3.42759990692139,2.72849988937378,4.03499984741211
311,0,48,41,91.5670013427734,8.82170009613037,2.87330007553101,4.05E-02,1.10000002384186,1.45930004119873,0.436199992895126,0.475600004196167
312,0,48,41,28.1618995666504,15.682900428772,1.62660002708435,1.68889999389648,0.738399982452393,0.874000012874603,0.53659999370575,1.16340005397797
313,0,47,61,150.596298217773,7.94799995422363,2.80789995193481,3.83299994468689,0.927200019359589,1.75419998168945,2.4193000793457,0.560500025749207
314,0,54,70,77.3251037597656,2.8313000202179,2.67149996757507,1.51479995250702,1.42260003089905,1.63139998912811,1.63610005378723,0.736000001430511
315,0,63,69,5.38819980621338,0.984300017356873,0.128099992871284,0.309899985790253,0.811600029468536,0.373499989509583,0.415199995040894,0.254400014877319
316,0,70,66,16.0799007415771,7.55259990692139,0.475899994373322,1.71379995346069,3.84890007972717,1.02909994125366,1.26259994506836,0.332300007343292
317,0,60,57,130.404800415039,59.4208984375,14.8528003692627,5.81519985198975,6.05740022659302,2.87910008430481,2.12140011787415,5.09929990768433
318,0,54,53,52.5224990844727,7.31829977035522,1.85810005664825,2.5673999786377,0.683799982070923,1.52670001983643,0.728399991989136,0.636500000953674
